CarNames,Mpg,Cylnd,engine,HorsePower,Vehicle Weight,Time,Model Year,Origin
plymouth horizon 4,34.7,4,105,63,2215,14.9,81,1
ford escort 4w,34.4,4,98,65,2045,16.2,81,1
ford escort 2h,29.9,4,98,65,2380,20.7,81,1
buick century,22.4,6,231,110,3415,15.8,81,1
oldsmobile cutlass ls,26.6,8,350,105,3725,19,81,1
ford granada gl,20.2,6,200,88,3060,17.1,81,1
chrysler lebaron salon,17.6,6,225,85,3465,16.6,81,1
chevrolet cavalier,28,4,112,88,2605,19.6,82,1
chevrolet cavalier wagon,27,4,112,88,2640,18.6,82,1
chevrolet cavalier 2-door,34,4,112,88,2395,18,82,1
pontiac j2000 se hatchback,31,4,112,85,2575,16.2,82,1
dodge aries se,29,4,135,84,2525,16,82,1
pontiac phoenix,27,4,151,90,2735,18,82,1
ford fairmont futura,24,4,140,92,2865,16.4,82,1
amc concord dl,23,4,151,75,3035,20.5,82,1
plymouth horizon miser,38,4,105,63,2125,14.7,82,1
mercury lynx l,36,4,98,70,2125,17.3,82,1
buick century limited,25,6,181,110,2945,16.4,82,1
oldsmobile cutlass ciera (diesel),38,6,262,85,3015,17,82,1
chrysler lebaron medallion,26,4,156,92,2585,14.5,82,1
ford granada l,22,6,232,112,2835,14.7,82,1
dodge charger 2.2,36,4,135,84,2370,13,82,1
chevrolet camaro,27,4,151,90,2950,17.3,82,1
ford mustang gl,27,4,140,86,2790,15.6,82,1
dodge rampage,32,4,135,84,2295,11.6,82,1
ford ranger,28,4,120,79,2625,18.6,82,1
chevy s-10,31,4,119,82,2720,19.4,82,1
